Date;FilterNum;PrintCardTemplate;CameraShotsNum;CameraGoodShotsNum;FBShare;VKhare;TWShare;Emails;FBLink;VKLink;TWLink
17:25:04;2;1;0;2;0;0;0;0;;;;;
17:26:18;2;1;0;5;0;0;0;0;;;;;
17:27:40;2;0;0;5;0;0;0;0;;;;;
17:29:19;2;2;0;5;0;0;0;0;;;;;
17:30:54;2;1;0;5;0;0;0;0;;;;;
17:35:48;2;1;0;5;0;0;0;0;;;;;
17:37:17;0;0;0;0;0;0;0;0;;;;;
18:51:16;2;0;0;5;0;0;0;0;;;;;
19:02:27;2;1;0;5;0;0;0;0;;;;;
22:52:14;2;0;0;5;0;0;0;0;;;;;
23:00:37;1;0;0;2;0;0;0;0;;;;;
23:23:40;2;0;0;5;0;0;0;0;;;;;
23:25:37;2;1;0;5;0;0;0;0;;;;;
23:27:04;1;0;0;5;0;0;0;0;;;;;
23:29:47;1;0;0;5;0;0;0;0;;;;;
23:32:21;3;0;0;5;0;0;0;0;;;;;
23:35:27;1;1;0;5;0;0;0;0;;;;;
23:38:27;1;0;0;5;0;0;0;0;;;;;
23:39:50;2;1;0;5;0;0;0;0;;;;;
23:46:43;2;1;0;5;0;0;0;0;;;;;
23:50:02;2;1;0;5;0;0;0;0;;;;;
